Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
1/21/2022 21:00,9.885.555.725,155.078.125,4.481.811.524,14.984.375,108.035.255,218.258.977,354.630.679,382.562.891,434.246.778,183.940.657,155.078.125,14.984.375,1.681.675.237
1/21/2022 22:00,9.886.810.303,17.765.625,558.013.916,17.5,0,0,0,0,0,0,17.765.625,17.5,0
1/21/2022 23:00,9.882.376.709,15.546.875,5.860.900.879,145.546.875,0,0,0,0,0,0,15.546.875,145.546.875,0
1/22/2022 0:00,9.878.673.706,138.203.125,6.039.123.535,128.671.875,0,0,0,0,0,0,138.203.125,128.671.875,0
1/22/2022 1:00,9.878.562.012,126.328.125,6.079.406.738,1.196.875,0,0,0,0,0,0,126.328.125,1.196.875,0
1/22/2022 2:00,9.875.229.492,118.515.625,6.166.687.012,113.203.125,0,0,0,0,0,0,118.515.625,113.203.125,0
1/22/2022 3:00,9.871.150.513,11.359.375,6.212.768.555,10.921.875,0,0,0,0,0,0,11.359.375,10.921.875,0
1/22/2022 4:00,9.867.437.744,11,6.267.089.844,10.625,0,0,0,0,0,0,11,10.625,0
1/22/2022 5:00,9.866.280.518,10.6875,6.282.348.633,1.034.375,0,0,0,0,0,0,10.6875,1.034.375,0
1/22/2022 6:00,9.868.717.041,103.984.375,6.323.547.363,101.015.625,0,0,0,0,0,0,103.984.375,101.015.625,0
1/22/2022 7:00,9.871.958.008,101.484.375,6.338.806.152,98.515.625,684.223.235,526.101.887,837.856.472,692.144.513,737.238.109,494.340.509,101.484.375,98.515.625,3.971.904.725
1/22/2022 8:00,9.874.497.009,1.027.552.083,6.315.368.652,9.983.333.333,94.345.782,666.178.546,958.187.864,830.141.803,979.835.651,720.089.331,1.027.552.083,9.983.333.333,5.097.891.016
1/22/2022 9:00,9.877.036.011,1.040.260.417,6.291.931.152,1.011.510.417,1.202.692.405,806.255.205,1.078.519.257,968.139.092,1.222.433.193,945.838.153,1.040.260.417,1.011.510.417,6.223.877.307
1/22/2022 10:00,9.879.575.012,105.296.875,6.268.493.652,10.246.875,1.461.926.991,946.331.865,119.885.065,1.106.136.382,1.465.030.736,1.171.586.975,105.296.875,10.246.875,7.349.863.598
1/22/2022 11:00,9.882.114.014,1.065.677.083,6.245.056.152,1.037.864.583,1.721.161.576,1.086.408.524,1.319.182.042,1.244.133.671,1.707.628.278,1.397.335.798,1.065.677.083,1.037.864.583,8.475.849.889
1/22/2022 12:00,9.884.653.015,1.078.385.417,6.221.618.652,1.051.041.667,1.980.396.162,1.226.485.183,1.439.513.435,1.382.130.961,195.022.582,162.308.462,1.078.385.417,1.051.041.667,960.183.618
1/22/2022 13:00,9.887.192.017,109.109.375,6.198.181.152,106.421.875,2.239.630.747,1.366.561.842,1.559.844.828,152.012.825,2.192.823.362,1.848.833.442,109.109.375,106.421.875,1.072.782.247
1/22/2022 14:00,9.889.731.018,1.103.802.083,6.174.743.652,1.077.395.833,2.498.865.332,1.506.638.501,168.017.622,165.812.554,2.435.420.904,2.074.582.264,1.103.802.083,1.077.395.833,1.185.380.876
